金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以上,逾期六個月以上,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,226028,111872,707,997,228626,13737,651569,1416,0.178392417752666,0.115396883258908,730.351242685209,1165,7317
臺灣土地銀行,123821,54262,913,1261,196542,23569,333466,582,0.20748826713552,0.149516149128515,2648.25042113568,285,4376
合作金庫商業銀行,386757,233224,4120,5975,557486,188229,2082549,4131,0.40750733508928,0.371296811293579,316.175888929851,4453,21940
第一商業銀行,849535,573015,13193,7476,1297688,940633,3730833,13284,0.150530590571944,0,2062.50979163403,5488,28862
華南商業銀行,761255,537423,14462,7917,618970,896321,3275031,966,0.166356893573088,0,942.864595130724,0,6706
彰化商業銀行,410605,203662,6783,2428,221553,94628,1091312,619,0.107227769185209,0.0120701415574974,1248.70338355149,1251,6538
上海商業儲蓄銀行,375313,193538,1265,5212,742322,200042,1105531,7498,0.610257355414937,0.260807493936921,2119.63238652228,0,13123
台北富邦商業銀行,2375060,1611842,20966,17349,6742904,4827114,13232096,95331,0.192249211624023,0,733.401033135624,25570,119696
國泰世華商業銀行,4953225,3455208,61101,25577,13927581,9585444,27065725,213542,0.137936098912035,0,2191.93086237883,21671,125018
高雄銀行,9062,4077,43,55,5482,199,143705,76,0.139103357623247,0.139103357623247,550.369175931427,11,19
兆豐國際商業銀行,587299,390658,9458,3853,1234572,707494,2505960,7230,0.160597595627205,0.0316996259720988,876.072324845797,1897,13907
花旗(台灣)商業銀行,2923208,2505443,17161,29603,16784629,9164451,19600007,187163,0.499053081056769,0.0968867433429566,729.037162959156,52600,328459
澳盛(台灣)商業銀行,627266,379434,6661,18486,3337943,1573600,3277932,19107,0.362220215845022,0,407.01072452134,12906,60130
臺灣中小企業銀行,335888,131746,1283,1410,547058,108702,921854,4463,0.148501604798003,0.0605214087478653,686.972808631594,3132,13736
渣打國際商業銀行,412118,265495,2329,12490,2198903,590588,1515410,9518,0.452983326324147,0,478.021331258892,10851,62566
台中商業銀行,161061,60611,2297,741,216905,35954,391812,0,1.77316508373326,0.583447998120616,433.302660616495,0,6782
匯豐(台灣)商業銀行,629135,446705,8548,5999,2992449,1870326,4057063,61123,0.224993283403338,0,2348.15272600861,9818,47129
華泰商業銀行,10332,6732,18,29,18968,2992,62010,0,1.01167219861109,0.421325951963943,195.808440861409,0,641
臺灣新光商業銀行,893692,456522,8248,4795,2178860,1221016,3459284,26454,0.171998614688958,0.00212728710462946,256.827859676603,6506,30136
陽信商業銀行,68675,38731,987,529,268494,47135,238655,338,0.726262872264246,0.0532520074007568,883.646646070064,0,3537
三信商業銀行,16804,11376,223,81,31596,13261,125609,142,0.203468912998814,0,5415.68599051309,51,372
聯邦商業銀行,1760832,789866,16399,14957,4955834,2652910,5339479,142614,0.282974209921894,0.0020609626279585,128.390333369295,12965,66014
遠東國際商業銀行,1499358,1013186,11217,6079,5235006,4493986,4222756,221498,0.306000049715571,0.112985400787629,100.211630098291,13316,68516
元大商業銀行,357289,183957,15083,1991,434657,320552,2083911,1008,0.187879995067771,0,1073.93228721864,1131,8743
永豐商業銀行,2199962,1310331,20348,14735,4883764,3965510,6999349,113792,0.493033257963892,0.205400122443652,479.404534665042,11733,67694
玉山商業銀行,3785419,2621789,38636,19997,10282125,7188084,21111750,102958,0.215070114544867,0,2315.23487887836,36192,185853
凱基商業銀行,499770,198578,4158,6128,1265910,230879,873313,9163,1.34543721989308,0.776184423443735,182.049151620068,4980,27619
星展(台灣)商業銀行,12594,6253,64,68,18040,676,62606,22,1.02849459289352,0,613.07371349096,0,1421
台新國際商業銀行,3583601,2420880,30710,19342,10296179,7756534,13760842,149101,0.253417599596159,0.00691647834713384,612.616724857114,21877,106353
大眾商業銀行,593056,296893,9778,4901,887731,3500063,1739064,76436,0,0,439.344039901401,6383,37653
日盛國際商業銀行,191277,105018,550,691,476858,221132,387949,5740,0.305178876639224,0,287.403727029536,1522,10689
安泰商業銀行,201381,71057,1101,551,463545,1069860,431188,1212,0.664902105133257,0.226332676587361,460.37454105159,0,0
中國信託商業銀行,5841873,3817898,36311,35786,13914684,12615306,25241780,684834,0.176161244461009,0.000554279464952946,687.186453880322,58015,295462
台灣樂天信用卡股份有限公司,14333,9640,4212,23,3983,27062,67228,32,0,0,6054.21686746988,0,0
台灣美國運通國際(股)公司,162905,89384,3062,2776,319418,0,4104957,1149,0.0677390274645923,0,545.125710953839,1775,12292
台灣永旺信用卡(股)公司,101844,50350,189,1097,297873,74259,185669,3686,1.94024494890397,0.672127311022701,740.185146372078,3587,14420
