金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月,逾期六個月,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,229685,108569,1403,773,227510,8564,591923,1125,0.36174528841201,0.136022829204125,500.684603559939,501,7515
臺灣土地銀行,226874,123797,3130,750,273104,49967,802498,842,0.349979001259924,0.198351735259521,1327.90240378827,2632,13232
合作金庫商業銀行,434661,264265,4428,3048,632591,204449,2298644,3452,0.297598259036603,0.216378653330043,335.775147841059,6157,34336
第一商業銀行,944592,632028,9874,8862,1422132,1010711,3768957,14321,0.169760624905193,0,1874.76386641549,5490,50783
華南商業銀行,860317,624604,11612,7488,746874,1722842,3471889,996,0.0669013069665434,0,769.896755481483,11522,36400
彰化商業銀行,433112,210300,2596,3545,368688,163663,1202909,490,0.345813599130401,0.00649044993982686,666.759488736042,2636,20324
上海商業儲蓄銀行,355758,177470,1428,1781,736921,183239,1046060,7095,0.872190252394878,0.352317264564377,1771.8550393783,0,21170
台北富邦商業銀行,2381409,1699013,105020,26099,6311070,8321286,15414178,44722,0.163105484580144,0.000277301507906877,744.728136691398,24720,212163
國泰世華商業銀行,5819486,3987545,167547,30382,14403009,10716675,28436766,226868,0.128558646023188,0,2434.66566788173,31589,274472
高雄銀行,9995,4621,119,40,7595,112,161677,181,0.219021937519871,0.113632349304664,285.9565807327,52,915
兆豐國際商業銀行,605157,410685,6858,17932,1156534,751060,2332768,5486,0.183018737532593,0.048748963384112,628.492235160024,2295,33322
花旗(台灣)商業銀行,2897079,2451755,20560,28657,15625833,9428296,19323772,190571,0.488565122730351,0.0941192022714013,652.888769066339,57423,594087
澳盛(台灣)商業銀行,551116,337897,3845,12350,3022184,1563877,2821580,20955,0.37890620935691,0,424.536247494922,10956,122404
臺灣中小企業銀行,331621,126622,646,1121,459121,81551,820864,4100,0.128453551526485,0.00210456374648425,147.256618383912,2371,20444
渣打國際商業銀行,356338,215141,998,3719,1889387,579747,1341776,9266,0.396444215280429,0,552.697454160699,9909,102963
台中商業銀行,198983,78440,1794,1090,269003,43756,474355,0,2.0269761553541,0.748578551251628,248.821575570486,0,16482
匯豐(台灣)商業銀行,603903,416222,5832,9966,2680380,1542599,3807238,50395,0.26016619375206,0,2557.09628304273,6834,67535
華泰商業銀行,10182,6286,7,12,19948,2825,50429,0,0.361392279068343,0,243.439056562912,1470,1758
臺灣新光商業銀行,906911,480883,7411,9600,2067667,1268711,3638242,12493,0.236032055912009,0.014330517680372,237.573377400106,6889,51659
陽信商業銀行,87424,50234,1395,647,243844,61201,265218,148,0.0142607645621853,0,1246.36844131751,3546,10716
三信商業銀行,17140,11172,108,58,31725,13959,115185,55,0.508858834315279,0,5068.36171743824,341,1761
聯邦商業銀行,1995367,1014822,43706,28514,4724627,2711166,6477824,93471,0.286149495207767,0,120.431526258103,15815,126547
遠東國際商業銀行,1512147,1016613,39453,7455,4746159,5808441,4172060,189430,0.39850601297417,0.125671513996492,100.287330038916,15940,142181
元大商業銀行,547435,342086,11305,2894,531881,481069,3954299,804,0.133332724904993,0,1149.49856466465,1886,15677
永豐商業銀行,1952814,1340289,14308,15191,4909879,3932349,6183786,113347,0.32535177092364,0,602.788467445391,16569,136182
玉山商業銀行,4220605,2936664,38711,23829,11232451,10438148,24361710,178144,0.243551102692899,0,1119.3914003355,37844,343137
凱基商業銀行,507286,198035,7647,9681,1109222,338650,1012383,8883,1.16898490677715,0.63943382665568,146.298696640486,7803,61786
星展(台灣)商業銀行,12823,5910,41,56,21865,141,52031,11,2.45433269505486,0,517.667407956511,313,1616
台新國際商業銀行,3624881,2542358,29640,21922,10181705,12781989,16366281,155959,0.229598487629513,0.00277346148406275,611.495994432999,22035,204343
大眾商業銀行,597887,324881,7595,5335,932445,3609817,1773563,69547,0.0179927075659557,0.0166200071528024,476.39505196283,13202,89099
日盛國際商業銀行,178704,100513,368,2626,449772,215409,375303,5259,0.281333218795636,0,245.366960205514,1703,12195
安泰商業銀行,181749,70301,756,343,382727,1277871,449745,1046,0.546158026082756,0.129155933022058,293.397449873484,0,10462
中國信託商業銀行,5928093,3838080,56544,37699,14633924,14504022,25263572,645018,0.163210603466816,0.000420497134468684,616.152524299262,63781,544921
台灣樂天信用卡(股)公司,170451,129353,10113,411,117355,173012,657598,1468,0.158866598870304,0.0084662450808626,292.277726856095,438,1510
台灣美國運通國際(股)公司,168562,112880,3632,2464,339365,0,4064483,2294,0.252434610285098,0,280.573001891063,2508,20645
台灣永旺信用卡(股)公司,86657,36274,79,562,267076,46918,150126,2413,0.799283910914764,0.158810079386993,2229.39070729596,1631,17893
