金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以,逾期六個月以,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,252292,133053,1043,1110,216007,12254,614295,891,0.3,0.09,536.75,672,8695
臺灣土地銀行,255117,134157,5377,1229,326614,67132,807101,815,0.25,0.23,1341.37,1532,16790
合作金庫商業銀行,467268,285610,6046,4558,685434,446014,2638663,2617,0.28,0.25,274.72,6016,31314
第一商業銀行,975933,639996,10800,8845,1428299,1215917,3924365,13748,0.21,0,1647.5,5991,41780
華南商業銀行,990044,738374,22740,9832,917895,2839404,3801440,1627,0.13,0,597.01,0,34107
彰化商業銀行,425612,202799,2983,2725,367894,303535,1237673,674,0.33,0.01,677.01,1050,14098
上海商業儲蓄銀行,361786,185736,1499,1981,687962,317654,1051387,6504,0.64,0.28,845.97,0,18617
台北富邦商業銀行,2344653,1740762,26032,19687,5650191,12187236,16865445,49936,0.12,0,836.41,22320,165293
國泰世華商業銀行,6058456,4263507,54231,35725,15763655,12945878,30924784,205970,0.13,0,2549.63,34776,231625
高雄銀行,10413,4308,121,46,8327,45,170827,119,0.13,0.13,478.87,47,1311
兆豐國際商業銀行,614896,401444,11814,4003,1120112,1026767,2467278,4384,0.19,0.08,541.44,3540,22332
花旗(台灣)商業銀行,2892195,2462655,21035,34195,15815682,9523391,19510198,175588,0.51,0.1,616.93,106209,477096
澳盛(台灣)商業銀行,541612,323880,5207,4453,2853081,1640741,2766362,23381,0.4,0,223.84,13051,88684
臺灣中小企業銀行,326209,125126,1956,2354,435982,82997,870452,3096,0.12,0.03,224.53,3399,17159
渣打國際商業銀行,327916,200320,2277,3996,1730571,500038,1179239,10145,0.41,0,558.33,10084,66016
台中商業銀行,207564,79921,1711,1036,273028,40303,492467,473,1.15,0.09,424.79,8860,20226
滙豐(台灣)商業銀行,584305,400520,7579,7082,2461057,1650465,4388683,41925,0.24,0,2647.97,9796,61299
華泰商業銀行,10431,6073,60,23,16081,2068,51020,0,0.86,0.75,251.83,0,1164
臺灣新光商業銀行,919530,490549,7062,10641,1937782,1548411,3737132,11220,0.27,0.04,225.47,5623,41992
陽信商業銀行,93556,50745,1188,838,232079,62830,269377,230,0.65,0.05,653.04,0,10527
三信商業銀行,16420,11042,130,67,28369,14917,110645,40,0.17,0,8797.11,94,1943
聯邦商業銀行,2008947,1131467,22223,24602,5128073,3265258,7087578,56417,0.29,0,123.22,15479,104884
遠東國際商業銀行,1449650,959280,14018,6366,4607518,5595407,4096789,204074,0.38,0.09,100.5,17286,120755
元大商業銀行,614286,433840,11401,4186,483937,528216,4462967,588,0.12,0,1231.11,2398,13613
永豐商業銀行,1830759,1039465,13334,18917,4688942,3840393,6401790,98488,0.35,0,602.58,14978,108912
玉山商業銀行,4483142,3124672,46871,23402,11673754,17299722,25740852,265065,0.25,0.01,811.42,42345,297363
凱基商業銀行,455603,192472,5696,10772,1060585,552966,939432,9392,0.72,0.47,125.51,4346,39761
星展(台灣)商業銀行,12330,5380,34,74,23148,6,51333,17,0.44,0,2601.37,46,909
台新國際商業銀行,4033292,2822709,46137,33455,10019613,16119884,19132999,205829,0.19,0.01,704.65,25864,177434
大眾商業銀行,566498,322707,6662,18205,951612,3323151,1798778,45930,0,0,584.57,10791,71611
日盛國際商業銀行,172279,101110,450,601,396951,232071,370326,4028,0.3,0,190.98,1768,11321
安泰商業銀行,165534,67231,750,477,338788,1261578,414966,718,0.46,0.12,314.88,0,7100
中國信託商業銀行,6191236,3975964,70627,41575,15583864,17280868,28606661,659363,0.13,0,586.44,57986,430737
台灣樂天信用卡股份有限公司,313263,220039,13383,630,222452,338299,1085234,2171,0.23,0.06,429.19,458,3127
台灣美國運通國際(股)公司,170825,111931,3198,3106,352156,0,3683699,1539,0.19,0,348.17,17375,33701
台灣永旺信用卡(股)公司,74168,32791,72,737,254252,32072,130707,2475,0.8,0.15,2494.05,1254,13229
