金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,223718,111186,1695,1138,188975,36980,776822,726,0.25,0.13,557.73,192,541
臺灣土地銀行,340633,146503,1796,2288,373448,87209,804444,865,0.36,0.3,998.45,1395,3697
合作金庫商業銀行,596917,367145,9753,3794,747157,405784,3280937,2055,0.22,0.19,451.09,5012,14432
第一商業銀行,1317601,789215,43234,12796,1452946,1683324,4801922,9319,0.05,0,1970.7,5458,15400
華南商業銀行,1010472,763579,15704,8897,1003551,3201159,3984511,1316,0.09,0,503,8827,8827
彰化商業銀行,536990,224370,11349,4376,324731,309538,1502789,703,0.18,0,693.27,1046,4735
上海商業儲蓄銀行,465405,236382,23667,2199,603865,758783,1185481,6399,0.19,0.15,1640.75,1840,7196
台北富邦商業銀行,3936780,2643505,56091,20407,5496663,21458997,28346927,85845,0.1,0,1225.08,19686,56932
國泰世華商業銀行,7191808,5156073,62274,33145,17415873,16677210,45616154,239760,0.15,0,1291.53,35454,102331
高雄銀行,16115,7262,255,109,13283,112,168569,117,0.42,0.42,231.26,193,194
兆豐國際商業銀行,1016204,634306,13034,4377,1587889,2651830,3743247,10268,0.22,0.06,586.39,3048,12082
花旗(台灣)商業銀行,2858011,2184525,32624,43737,10887480,10996058,16768505,140468,0.5,0.1,453.12,93924,125135
臺灣中小企業銀行,197143,101209,409,21199,317803,66939,777622,2358,0.13,0.04,356.23,3181,3978
渣打國際商業銀行,413608,292017,1746,3846,1189489,415018,3029086,5107,0.14,0,1044.43,4118,11187
台中商業銀行,151724,79243,2085,901,220539,50568,533328,339,0.54,0,1166.97,640,3117
滙豐(台灣)商業銀行,623407,426594,11878,9180,1920295,1455999,5030136,25846,0.24,0,1689.69,5656,15295
華泰商業銀行,9272,5062,8,77,10178,2334,38664,0,0.62,0,457.2,0,37
臺灣新光商業銀行,921398,560450,20358,6682,1554588,1850489,4197886,6111,0.12,0,241.16,4004,12697
陽信商業銀行,114659,55271,2154,606,182851,79437,364397,201,0.13,0,283.82,2549,2549
三信商業銀行,15099,10077,183,66,18552,12776,85074,34,0.52,0,6066.35,187,324
聯邦商業銀行,2268966,1320990,22689,12107,5550376,4144308,8449323,55024,0.16,0,161.79,14898,41633
遠東國際商業銀行,1636080,1047303,9753,7054,3929223,5180686,4402163,118378,0.28,0.08,100.7,10072,31868
元大商業銀行,1156486,576284,3286,6178,1284323,2941662,4269925,15783,0.08,0,708.22,5509,16005
永豐商業銀行,2094336,1128544,26997,11604,4077064,4753386,10055204,83402,0.13,0,944.9,14930,34400
玉山商業銀行,6423268,4480211,53639,22737,12397949,17065307,36481550,293616,0.15,0,661,37955,109917
凱基商業銀行,357938,188938,4282,2749,1099077,845232,944479,6799,0.7,0.39,182.57,3392,12341
星展(台灣)商業銀行,607969,318603,3355,5335,1359844,1961447,2996829,25440,0.65,0,297.08,9174,33727
台新國際商業銀行,5813795,4054515,60006,36407,10209122,20849926,28813888,92757,0.14,0,981.55,24184,64903
日盛國際商業銀行,145201,91714,271,631,250867,120442,293637,2095,0.27,0,886.96,712,1943
安泰商業銀行,123607,55457,433,473,207717,1144899,348140,630,0.41,0.24,205.04,0,0
中國信託商業銀行,7443985,4808351,96517,40057,16055502,20630814,37415895,621244,0.17,0,431.55,67913,175702
台灣樂天信用卡股份有限公司,598404,233437,2781,4497,484670,905657,1032373,6176,0.92,0.25,238.06,940,2295
台灣美國運通國際(股)公司,173826,102953,2378,2128,259938,0,2664139,176,0.18,0,1520.97,1960,4816
