金融機構名稱,當月發卡數
臺灣銀行,3366
臺灣土地銀行,5949
合作金庫商業銀行,6512
第一商業銀行,10326
華南商業銀行,26763
彰化商業銀行,3890
上海商業儲蓄銀行,2318
台北富邦商業銀行,31746
國泰世華商業銀行,64690
高雄銀行,45
兆豐國際商業銀行,7628
花旗(台灣)商業銀行,26163
澳盛(台灣)商業銀行,5635
臺灣中小企業銀行,3775
渣打國際商業銀行,1652
台中商業銀行,1935
滙豐(台灣)商業銀行,8808
華泰商業銀行,96
臺灣新光商業銀行,10316
陽信商業銀行,1187
三信商業銀行,138
聯邦商業銀行,26830
遠東國際商業銀行,13508
元大商業銀行,13173
永豐商業銀行,14570
玉山商業銀行,59758
凱基商業銀行,7650
星展(台灣)商業銀行,29
台新國際商業銀行,62005
大眾商業銀行,7201
日盛國際商業銀行,548
安泰商業銀行,812
中國信託商業銀行,74987
台灣樂天信用卡股份有限公司,16708
台灣美國運通國際(股)公司,3326
台灣永旺信用卡(股)公司,111
